,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,1,0.683006536,1,0,0,0,1,0.6830065359477124,1,0,0,0,2,0.6852459016393443,1,1,0,0
1,1,0.691318328,1,0,0,0,1,0.6913183279742765,1,0,0,0,2,0.6935483870967742,1,1,0,0
2,1,0.690553746,1,0,0,0,1,0.6905537459283387,1,0,0,0,2,0.6928104575163399,1,1,0,0
3,1,0.695512821,1,0,0,0,1,0.6955128205128205,1,0,0,0,2,0.6977491961414791,1,1,0,0
4,1,0.685064935,1,0,0,0,1,0.685064935064935,1,0,0,0,2,0.6872964169381107,1,1,0,0
5,1,0.675159236,1,0,0,0,1,0.6751592356687898,1,0,0,0,2,0.6773162939297125,1,1,0,0
6,1,0.720538721,1,0,0,0,1,0.7205387205387206,1,0,0,0,2,0.722972972972973,1,1,0,0
7,1,0.697749196,1,0,0,0,1,0.6977491961414791,1,0,0,0,2,0.7,1,1,0,0
8,1,0.670846395,1,0,0,0,1,0.670846394984326,1,0,0,0,2,0.6729559748427673,1,1,0,0
9,1,0.683168317,1,0,0,0,1,0.6831683168316832,1,0,0,0,2,0.6854304635761589,1,1,0,0
10,1,0.668789809,1,0,0,0,1,0.6687898089171974,1,0,0,0,2,0.670926517571885,1,1,0,0
11,1,0.706840391,1,0,0,0,1,0.7068403908794788,1,0,0,0,2,0.7091503267973857,1,1,0,0
12,1,0.666666667,1,0,0,0,1,0.6666666666666666,1,0,0,0,2,0.6688311688311688,1,1,0,0
13,1,0.685897436,1,0,0,0,1,0.6858974358974359,1,0,0,0,2,0.6881028938906752,1,1,0,0
14,1,0.718543046,1,0,0,0,1,0.7185430463576159,1,0,0,0,2,0.7209302325581395,1,1,0,0
15,1,0.675241158,1,0,0,0,1,0.6752411575562701,1,0,0,0,2,0.6774193548387096,1,1,0,0
16,1,0.684039088,1,0,0,0,1,0.6840390879478827,1,0,0,0,2,0.6862745098039216,1,1,0,0
17,1,0.694805195,1,0,0,0,1,0.6948051948051948,1,0,0,0,2,0.6970684039087948,1,1,0,0
18,1,0.670807453,1,0,0,0,1,0.6708074534161491,1,0,0,0,2,0.6728971962616822,1,1,0,0
19,1,0.722972973,1,0,0,0,1,0.722972972972973,1,0,0,0,2,0.7254237288135593,1,1,0,0
20,1,0.694352159,1,0,0,0,1,0.6943521594684385,1,0,0,0,2,0.6966666666666667,1,1,0,0
21,1,0.690322581,1,0,0,0,1,0.6903225806451613,1,0,0,0,2,0.6925566343042071,1,1,0,0
22,1,0.68852459,1,0,0,0,1,0.6885245901639344,1,0,0,0,2,0.6907894736842105,1,1,0,0
23,1,0.693290735,1,0,0,0,1,0.6932907348242812,1,0,0,0,2,0.6955128205128205,1,1,0,0
24,1,0.679365079,1,0,0,0,1,0.6793650793650794,1,0,0,0,2,0.6815286624203821,1,1,0,0
25,1,0.703333333,1,0,0,0,1,0.7033333333333334,1,0,0,0,2,0.705685618729097,1,1,0,0
26,1,0.685897436,1,0,0,0,1,0.6858974358974359,1,0,0,0,2,0.6881028938906752,1,1,0,0
27,1,0.66984127,1,0,0,0,1,0.6698412698412698,1,0,0,0,2,0.6719745222929936,1,1,0,0
28,1,0.694533762,1,0,0,0,1,0.6945337620578779,1,0,0,0,2,0.6967741935483871,1,1,0,0
29,1,0.692810458,1,0,0,0,1,0.6928104575163399,1,0,0,0,2,0.6950819672131148,1,1,0,0
30,1,0.674121406,1,0,0,0,1,0.6741214057507987,1,0,0,0,2,0.6762820512820513,1,1,0,0
31,1,0.662379421,1,0,0,0,1,0.662379421221865,1,0,0,0,2,0.6645161290322581,1,1,0,0
32,1,0.702970297,1,0,0,0,1,0.7029702970297029,1,0,0,0,2,0.7052980132450332,1,1,0,0
33,1,0.694533762,1,0,0,0,1,0.6945337620578779,1,0,0,0,2,0.6967741935483871,1,1,0,0
34,1,0.712418301,1,0,0,0,1,0.7124183006535948,1,0,0,0,2,0.7147540983606557,1,1,0,0
35,1,0.72972973,1,0,0,0,1,0.7297297297297297,1,0,0,0,2,0.7322033898305085,1,1,0,0
36,1,0.665584416,1,0,0,0,1,0.6655844155844156,1,0,0,0,2,0.6677524429967426,1,1,0,0
37,1,0.684713376,1,0,0,0,1,0.6847133757961783,1,0,0,0,2,0.6869009584664537,1,1,0,0
38,1,0.688888889,1,0,0,0,1,0.6888888888888889,1,0,0,0,2,0.6910828025477707,1,1,0,0
39,1,0.678456592,1,0,0,0,1,0.6784565916398714,1,0,0,0,2,0.6806451612903226,1,1,0,0
40,1,0.695081967,1,0,0,0,1,0.6950819672131148,1,0,0,0,2,0.6973684210526315,1,1,0,0
41,1,0.682692308,1,0,0,0,1,0.6826923076923077,1,0,0,0,2,0.684887459807074,1,1,0,0
42,1,0.706270627,1,0,0,0,1,0.7062706270627063,1,0,0,0,2,0.7086092715231788,1,1,0,0
43,1,0.663492063,1,0,0,0,1,0.6634920634920635,1,0,0,0,2,0.6656050955414012,1,1,0,0
44,1,0.699029126,1,0,0,0,1,0.6990291262135923,1,0,0,0,2,0.7012987012987013,1,1,0,0
45,1,0.704318937,1,0,0,0,1,0.7043189368770764,1,0,0,0,2,0.7066666666666667,1,1,0,0
46,1,0.686084142,1,0,0,0,1,0.686084142394822,1,0,0,0,2,0.6883116883116883,1,1,0,0
47,1,0.692307692,1,0,0,0,1,0.6923076923076923,1,0,0,0,2,0.6945337620578779,1,1,0,0
48,1,0.682692308,1,0,0,0,1,0.6826923076923077,1,0,0,0,2,0.684887459807074,1,1,0,0
49,1,0.680645161,1,0,0,0,1,0.6806451612903226,1,0,0,0,2,0.6828478964401294,1,1,0,0
