,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,0,0.4322033898305085,0,0,0,0,0,0.4322033898305085,0,0,0,0,,,,,,
1,0,0.4634146341463415,0,0,0,0,0,0.4634146341463415,0,0,0,0,,,,,,
2,0,0.453781512605042,0,0,0,0,0,0.453781512605042,0,0,0,0,,,,,,
3,0,0.4758064516129032,0,0,0,0,0,0.4758064516129032,0,0,0,0,,,,,,
4,0,0.4416666666666666,0,0,0,0,0,0.4416666666666666,0,0,0,0,,,,,,
5,0,0.4285714285714285,0,0,0,0,0,0.4285714285714285,0,0,0,0,,,,,,
6,0,0.5137614678899083,0,0,0,0,0,0.5137614678899083,0,0,0,0,,,,,,
7,0,0.4796747967479675,0,0,0,0,0,0.4796747967479675,0,0,0,0,,,,,,
8,0,0.4274809160305343,0,0,0,0,0,0.4274809160305343,0,0,0,0,,,,,,
9,0,0.4260869565217391,0,0,0,0,0,0.4260869565217391,0,0,0,0,,,,,,
10,0,0.4126984126984127,0,0,0,0,0,0.4126984126984127,0,0,0,0,,,,,,
11,0,0.4957983193277311,0,0,0,0,0,0.4957983193277311,0,0,0,0,,,,,,
12,0,0.396694214876033,0,0,0,0,0,0.396694214876033,0,0,0,0,,,,,,
13,0,0.4516129032258064,0,0,0,0,0,0.4516129032258064,0,0,0,0,,,,,,
14,0,0.5175438596491229,0,0,0,0,0,0.5175438596491229,0,0,0,0,,,,,,
15,0,0.4227642276422764,0,0,0,0,0,0.4227642276422764,0,0,0,0,,,,,,
16,0,0.4369747899159664,0,0,0,0,0,0.4369747899159664,0,0,0,0,,,,,,
17,0,0.4666666666666667,0,0,0,0,0,0.4666666666666667,0,0,0,0,,,,,,
18,0,0.4328358208955223,0,0,0,0,0,0.4328358208955223,0,0,0,0,,,,,,
19,0,0.5185185185185185,0,0,0,0,0,0.5185185185185185,0,0,0,0,,,,,,
20,1,0.4464285714285714,1,0,0,0,1,0.4464285714285714,1,0,0,0,7.0,0.4433962264150943,2.0,3.0,2.0,0.0
21,1,0.4545454545454545,1,0,0,0,1,0.4545454545454545,1,0,0,0,7.0,0.4521739130434782,2.0,3.0,2.0,0.0
22,1,0.4396551724137931,1,0,0,0,1,0.4396551724137931,1,0,0,0,7.0,0.4363636363636363,2.0,3.0,2.0,0.0
23,1,0.4677419354838709,1,0,0,0,1,0.4677419354838709,1,0,0,0,7.0,0.4661016949152542,2.0,3.0,2.0,0.0
24,1,0.4365079365079365,1,0,0,0,1,0.4365079365079365,1,0,0,0,7.0,0.4333333333333333,2.0,3.0,2.0,0.0
25,0,0.4732142857142857,0,0,0,0,0,0.4732142857142857,0,0,0,0,,,,,,
26,0,0.4516129032258064,0,0,0,0,0,0.4516129032258064,0,0,0,0,,,,,,
27,0,0.4173228346456692,0,0,0,0,0,0.4173228346456692,0,0,0,0,,,,,,
28,0,0.4715447154471545,0,0,0,0,0,0.4715447154471545,0,0,0,0,,,,,,
29,0,0.4576271186440678,0,0,0,0,0,0.4576271186440678,0,0,0,0,,,,,,
30,0,0.424,0,0,0,0,0,0.424,0,0,0,0,8.0,0.4102564102564102,3.0,2.0,1.0,2.0
31,0,0.3902439024390244,0,0,0,0,0,0.3902439024390244,0,0,0,0,8.0,0.3739130434782609,3.0,2.0,1.0,2.0
32,0,0.4782608695652174,0,0,0,0,0,0.4782608695652174,0,0,0,0,8.0,0.4672897196261682,3.0,2.0,1.0,2.0
33,0,0.4715447154471545,0,0,0,0,0,0.4715447154471545,0,0,0,0,8.0,0.4608695652173913,3.0,2.0,1.0,2.0
34,0,0.5084745762711864,0,0,0,0,0,0.5084745762711864,0,0,0,0,8.0,0.5,3.0,2.0,1.0,2.0
35,0,0.5370370370370371,0,0,0,0,0,0.5370370370370371,0,0,0,0,,,,,,
36,0,0.3916666666666666,0,0,0,0,0,0.3916666666666666,0,0,0,0,,,,,,
37,0,0.4523809523809524,0,0,0,0,0,0.4523809523809524,0,0,0,0,,,,,,
38,0,0.4645669291338583,0,0,0,0,0,0.4645669291338583,0,0,0,0,,,,,,
39,0,0.4308943089430894,0,0,0,0,0,0.4308943089430894,0,0,0,0,,,,,,
40,0,0.4615384615384615,0,0,0,0,0,0.4615384615384615,0,0,0,0,,,,,,
41,0,0.4435483870967742,0,0,0,0,0,0.4435483870967742,0,0,0,0,,,,,,
42,0,0.4869565217391304,0,0,0,0,0,0.4869565217391304,0,0,0,0,,,,,,
43,0,0.4015748031496063,0,0,0,0,0,0.4015748031496063,0,0,0,0,,,,,,
44,0,0.4793388429752066,0,0,0,0,0,0.4793388429752066,0,0,0,0,,,,,,
45,0,0.4778761061946903,0,0,0,0,0,0.4778761061946903,0,0,0,0,,,,,,
46,0,0.4462809917355372,0,0,0,0,0,0.4462809917355372,0,0,0,0,,,,,,
47,0,0.4677419354838709,0,0,0,0,0,0.4677419354838709,0,0,0,0,,,,,,
48,0,0.4435483870967742,0,0,0,0,0,0.4435483870967742,0,0,0,0,,,,,,
49,0,0.4344262295081967,0,0,0,0,0,0.4344262295081967,0,0,0,0,,,,,,
